item;classe;vetor
11;contratos_rescisao_arrependimento;[0.28624406456947327, 0.08138123154640198, -0.07888970524072647, 0.06815037131309509, -0.2540282905101776, 0.35795286297798157, 0.08117248117923737, 0.29539576172828674, -0.3277939558029175, -0.0041018580086529255, -0.6407361626625061, 0.15997551381587982, 0.06428823620080948, 0.5302832722663879, -0.23227113485336304, -0.29694029688835144, 0.040856488049030304, -0.6411750912666321, -0.3617425262928009, 0.05905608460307121, 0.03381799906492233, 0.10526411980390549, 0.032895784825086594, 0.39316120743751526, 0.41014957427978516, 0.08407082408666611, -0.2967548370361328, 0.19623734056949615, -0.2432510107755661, -0.30858996510505676, -0.17172618210315704, -0.05817579850554466, 0.11034420132637024, 0.10944921523332596, 0.13083003461360931, -0.057935018092393875, 0.25749433040618896, -0.6645147204399109, 0.01776704005897045, 0.35206174850463867, 0.2236688733100891, 0.021153686568140984, 0.5231481194496155, -0.28300949931144714, 0.2399139404296875, 0.13002581894397736, 0.09546837955713272, 0.40391913056373596, 0.6102665066719055, -0.25759175419807434, -0.06782180070877075, -0.7722483277320862, -0.20905227959156036, 0.04281109943985939, 0.23733662068843842, 0.03257511183619499, -0.06334035843610764, 0.17926974594593048, -0.19200283288955688, 0.4425933361053467, 0.04925673082470894, 0.13440893590450287, -0.4981251060962677, 0.3217822015285492, 0.34818199276924133, 0.06250736117362976, 0.20067767798900604, -0.34417662024497986, -0.46323108673095703, 0.12139870971441269, -0.08926460891962051, -0.11294736713171005, -0.1734635978937149, -0.29822245240211487, 0.09871234744787216, 0.1180649921298027, 0.09698587656021118, -0.1910639852285385, 0.044797349721193314, -0.3071107268333435, 0.0812150239944458, -0.2317349910736084, -0.3416506052017212, 0.07794562727212906, -0.4480486810207367, 0.13695521652698517, -0.25397536158561707, -0.5347579717636108, 0.026007501408457756, -0.040641993284225464, -0.3655147850513458, 0.5557666420936584, 0.19528095424175262, -0.3896609842777252, 0.21280062198638916, -0.23044073581695557, -0.19624729454517365, 0.17805249989032745, -0.263592004776001, -0.15721701085567474]
12;contratos_rescisao_arrependimento;[0.24618373811244965, 0.07066809386014938, -0.07112158089876175, 0.061728835105895996, -0.2234579175710678, 0.3178001642227173, 0.07000085711479187, 0.2608480155467987, -0.28953924775123596, -0.0007423300412483513, -0.561470091342926, 0.14027753472328186, 0.057644180953502655, 0.4599898159503937, -0.20655031502246857, -0.2619178593158722, 0.032115235924720764, -0.5618428587913513, -0.3194500207901001, 0.048958513885736465, 0.031061245128512383, 0.08939199149608612, 0.03459355980157852, 0.3450981080532074, 0.3588743507862091, 0.07971232384443283, -0.2656489908695221, 0.17407608032226562, -0.21269002556800842, -0.2714754343032837, -0.14947284758090973, -0.04672131687402725, 0.10425563156604767, 0.09664399176836014, 0.11345458030700684, -0.050843726843595505, 0.22407113015651703, -0.5800887942314148, 0.013465466909110546, 0.3075859844684601, 0.20054322481155396, 0.01988793909549713, 0.4605119526386261, -0.24992698431015015, 0.21616166830062866, 0.11538495123386383, 0.08254320919513702, 0.3538917899131775, 0.5338965058326721, -0.22802096605300903, -0.055804543197155, -0.6770548820495605, -0.18578338623046875, 0.03671937808394432, 0.2061258852481842, 0.026571787893772125, -0.05873215198516846, 0.1604451835155487, -0.17387832701206207, 0.3878434896469116, 0.03610169142484665, 0.1176176592707634, -0.4362366199493408, 0.2804812788963318, 0.3066561818122864, 0.05371690168976784, 0.17457030713558197, -0.30085623264312744, -0.4024110734462738, 0.10722987353801727, -0.08074978739023209, -0.09959624707698822, -0.15119265019893646, -0.25921687483787537, 0.08624659478664398, 0.10211753845214844, 0.08791886270046234, -0.166927769780159, 0.046056680381298065, -0.2668319046497345, 0.06685946136713028, -0.19826550781726837, -0.295655757188797, 0.0660574734210968, -0.3919561505317688, 0.11892025917768478, -0.21986442804336548, -0.47560036182403564, 0.018531059846282005, -0.03667135164141655, -0.3249283730983734, 0.4863373339176178, 0.16989335417747498, -0.3433378338813782, 0.18668915331363678, -0.2006424069404602, -0.17560559511184692, 0.15531183779239655, -0.23742549121379852, -0.13524827361106873]
13;contratos_rescisao_arrependimento;[0.21105444431304932, 0.06017313525080681, -0.05998706817626953, 0.051290225237607956, -0.18866342306137085, 0.27576836943626404, 0.06633950024843216, 0.2281922549009323, -0.2502821385860443, -0.00108913064468652, -0.4809199273586273, 0.12310566753149033, 0.04831366613507271, 0.3975445330142975, -0.17655570805072784, -0.2232358604669571, 0.02465062029659748, -0.4895273745059967, -0.27955925464630127, 0.03999866545200348, 0.023879021406173706, 0.08097777515649796, 0.032322730869054794, 0.30109116435050964, 0.31701937317848206, 0.06434845924377441, -0.227581188082695, 0.14837555587291718, -0.1826643943786621, -0.2320672869682312, -0.13506461679935455, -0.04389825090765953, 0.0822809711098671, 0.08046424388885498, 0.09732554107904434, -0.04872557520866394, 0.19709406793117523, -0.5079317688941956, 0.012021820060908794, 0.2657805383205414, 0.17658962309360504, 0.013120525516569614, 0.393803209066391, -0.21573008596897125, 0.18898677825927734, 0.09859061986207962, 0.06855420023202896, 0.30605626106262207, 0.4691314995288849, -0.19938403367996216, -0.0472242496907711, -0.5866751074790955, -0.1577410250902176, 0.02997131645679474, 0.1784927099943161, 0.02609183080494404, -0.04916180670261383, 0.13908986747264862, -0.14755012094974518, 0.3334179222583771, 0.03339990973472595, 0.1028948500752449, -0.37967634201049805, 0.24397540092468262, 0.2704910933971405, 0.04606138542294502, 0.15315650403499603, -0.26070907711982727, -0.35506296157836914, 0.09326481074094772, -0.06864330917596817, -0.09372951835393906, -0.1309891641139984, -0.22504426538944244, 0.07648734748363495, 0.09194361418485641, 0.07519504427909851, -0.14629702270030975, 0.036592867225408554, -0.23537860810756683, 0.06206943467259407, -0.17768867313861847, -0.25605741143226624, 0.05907423421740532, -0.33950528502464294, 0.10379987210035324, -0.19072319567203522, -0.4085952937602997, 0.01232342142611742, -0.02823578752577305, -0.2741504907608032, 0.42685016989707947, 0.14699403941631317, -0.29700347781181335, 0.16420339047908783, -0.17875921726226807, -0.1496564745903015, 0.13079319894313812, -0.2078600376844406, -0.11317288130521774]
14;contratos_rescisao_arrependimento;[0.2124803364276886, 0.0632387101650238, -0.06404785811901093, 0.055165063589811325, -0.19208556413650513, 0.2752821147441864, 0.06796212494373322, 0.22792847454547882, -0.2548161745071411, 0.0014321297639980912, -0.49003535509109497, 0.12360292673110962, 0.0468631237745285, 0.3950088918209076, -0.17705711722373962, -0.2237781286239624, 0.02767862379550934, -0.49271661043167114, -0.2824007272720337, 0.04448661208152771, 0.02667882665991783, 0.07938981801271439, 0.028957758098840714, 0.2994310259819031, 0.3152361512184143, 0.06020835041999817, -0.2301989495754242, 0.14476308226585388, -0.18581771850585938, -0.23694655299186707, -0.13527758419513702, -0.04427022486925125, 0.0851956456899643, 0.08382432162761688, 0.09566065669059753, -0.0468561127781868, 0.19329723715782166, -0.5113847255706787, 0.01501561887562275, 0.26734060049057007, 0.1783370077610016, 0.013291692361235619, 0.39339643716812134, -0.21765553951263428, 0.1935786008834839, 0.09699811041355133, 0.07558174431324005, 0.3090550899505615, 0.46742281317710876, -0.20340189337730408, -0.05175549536943436, -0.5903956294059753, -0.1621961146593094, 0.03451579064130783, 0.18073610961437225, 0.028060248121619225, -0.05325087159872055, 0.14248591661453247, -0.1486305296421051, 0.33680593967437744, 0.0363616906106472, 0.09954504668712616, -0.38195958733558655, 0.2480785846710205, 0.2705410420894623, 0.05005929619073868, 0.15266744792461395, -0.26543402671813965, -0.3516935706138611, 0.09593986719846725, -0.07041458785533905, -0.0883789137005806, -0.13368798792362213, -0.22370871901512146, 0.07665631920099258, 0.09024917334318161, 0.07601840794086456, -0.14551421999931335, 0.03478037565946579, -0.23509196937084198, 0.058377791196107864, -0.17516165971755981, -0.2582133710384369, 0.05415000766515732, -0.3446793258190155, 0.10412780940532684, -0.19507291913032532, -0.41245922446250916, 0.015452461317181587, -0.031361427158117294, -0.2748076915740967, 0.4231155514717102, 0.14542752504348755, -0.29733210802078247, 0.16378679871559143, -0.17658689618110657, -0.14788559079170227, 0.13231191039085388, -0.21115688979625702, -0.11198461055755615]
15;vicios_troca_garantia_pratica;[0.2660631835460663, 0.07575869560241699, -0.07650364935398102, 0.06892678886651993, -0.23745515942573547, 0.34395304322242737, 0.08042915910482407, 0.28273406624794006, -0.3118729591369629, 0.002303461544215679, -0.6078113913536072, 0.14978092908859253, 0.06085823476314545, 0.4927719533443451, -0.22452190518379211, -0.27885720133781433, 0.032677821815013885, -0.6116604804992676, -0.34871718287467957, 0.053459059447050095, 0.03075711987912655, 0.0976983830332756, 0.035089947283267975, 0.3741152882575989, 0.39171016216278076, 0.07593513280153275, -0.28509196639060974, 0.1847657412290573, -0.2306293398141861, -0.29520002007484436, -0.16660264134407043, -0.05535678565502167, 0.10314300656318665, 0.10467714816331863, 0.12275237590074539, -0.05649220943450928, 0.24713103473186493, -0.6346384286880493, 0.017907464876770973, 0.33376747369766235, 0.22259756922721863, 0.02166874334216118, 0.49390119314193726, -0.27102768421173096, 0.2391563504934311, 0.12383128702640533, 0.09030935913324356, 0.3828889727592468, 0.5847970247268677, -0.24832302331924438, -0.06260789930820465, -0.7360131144523621, -0.19667856395244598, 0.040801793336868286, 0.22449909150600433, 0.03839222714304924, -0.06580761075019836, 0.1753796637058258, -0.1857738047838211, 0.4191335439682007, 0.04567176476120949, 0.1251647174358368, -0.47625261545181274, 0.3012448847293854, 0.33407342433929443, 0.06394290924072266, 0.18766185641288757, -0.32670846581459045, -0.44041481614112854, 0.11636653542518616, -0.08561611920595169, -0.11014756560325623, -0.16374340653419495, -0.27749761939048767, 0.09565198421478271, 0.11364749819040298, 0.09896302968263626, -0.18262021243572235, 0.04449262097477913, -0.29294899106025696, 0.07648150622844696, -0.2180018126964569, -0.3189069628715515, 0.07245072722434998, -0.42494910955429077, 0.13032764196395874, -0.24131804704666138, -0.5120764374732971, 0.020515326410531998, -0.0381876640021801, -0.34564486145973206, 0.5274298191070557, 0.185160294175148, -0.3683289587497711, 0.20161473751068115, -0.21961751580238342, -0.19016867876052856, 0.16349871456623077, -0.2592293918132782, -0.1439194679260254]
16;vicios_troca_garantia_pratica;[0.2955458164215088, 0.08805970102548599, -0.09026432037353516, 0.06993667036294937, -0.27041348814964294, 0.38035374879837036, 0.08308365195989609, 0.31548747420310974, -0.3498980700969696, 0.0008661386673338711, -0.6777663230895996, 0.16983802616596222, 0.0642855167388916, 0.5500196218490601, -0.24799609184265137, -0.30905431509017944, 0.03546041250228882, -0.6786288619041443, -0.3887648284435272, 0.057114165276288986, 0.03260888531804085, 0.11167365312576294, 0.0458231158554554, 0.4129776954650879, 0.44190865755081177, 0.0853675976395607, -0.3220968246459961, 0.20142197608947754, -0.25603121519088745, -0.32841092348098755, -0.18765078485012054, -0.05898120999336243, 0.12166646867990494, 0.1205143928527832, 0.13871046900749207, -0.05649880692362785, 0.27277326583862305, -0.708065390586853, 0.022453995421528816, 0.3760778307914734, 0.25131163001060486, 0.023841306567192078, 0.5449441075325012, -0.30233776569366455, 0.2651454508304596, 0.13593673706054688, 0.10020450502634048, 0.4268857538700104, 0.6464285850524902, -0.28346168994903564, -0.06569398194551468, -0.8167881965637207, -0.2202819138765335, 0.04965076595544815, 0.2514670491218567, 0.04117204621434212, -0.06993918120861053, 0.19261789321899414, -0.21058468520641327, 0.4668225646018982, 0.04698501154780388, 0.1400662660598755, -0.5263089537620544, 0.3376762866973877, 0.370246946811676, 0.0746103972196579, 0.20538266003131866, -0.36658066511154175, -0.49353694915771484, 0.12626710534095764, -0.09838265180587769, -0.12340770661830902, -0.1853203922510147, -0.30981090664863586, 0.11023453623056412, 0.12822088599205017, 0.10871569067239761, -0.2022888958454132, 0.049859918653964996, -0.3270625174045563, 0.08512894809246063, -0.24034209549427032, -0.358422189950943, 0.07713934779167175, -0.48066407442092896, 0.14179053902626038, -0.2752721607685089, -0.5676807165145874, 0.01986832544207573, -0.047499459236860275, -0.38945308327674866, 0.5860141515731812, 0.20667484402656555, -0.40999555587768555, 0.2269669473171234, -0.24331963062286377, -0.20884525775909424, 0.18144389986991882, -0.2893833816051483, -0.15502780675888062]
17;vicios_troca_garantia_pratica;[0.3172281086444855, 0.09401081502437592, -0.09709315001964569, 0.07505079358816147, -0.2904088497161865, 0.4114987254142761, 0.0901215523481369, 0.34053605794906616, -0.37514784932136536, -0.0012512576067820191, -0.7289224863052368, 0.18286576867103577, 0.06949251145124435, 0.5958045721054077, -0.26891398429870605, -0.33473458886146545, 0.035970333963632584, -0.7318392992019653, -0.41828519105911255, 0.0629451647400856, 0.036810748279094696, 0.11948593705892563, 0.049635570496320724, 0.44388920068740845, 0.473661333322525, 0.09108893573284149, -0.347433865070343, 0.217281773686409, -0.2749593257904053, -0.35261911153793335, -0.20307603478431702, -0.0605248399078846, 0.13149210810661316, 0.12751547992229462, 0.14890871942043304, -0.06438513845205307, 0.29439815878868103, -0.7602335214614868, 0.02257992886006832, 0.4011368751525879, 0.27042967081069946, 0.02238299511373043, 0.5884565114974976, -0.3250400125980377, 0.2834703326225281, 0.1465471237897873, 0.10530515760183334, 0.4578790068626404, 0.6989434957504272, -0.3062281608581543, -0.07301818579435349, -0.8818303942680359, -0.2388402670621872, 0.050387632101774216, 0.271933913230896, 0.042215198278427124, -0.0745416134595871, 0.20937895774841309, -0.23018105328083038, 0.4995267987251282, 0.04886586591601372, 0.14948347210884094, -0.5677796602249146, 0.3655621111392975, 0.399400532245636, 0.08017697185277939, 0.22250699996948242, -0.3963724970817566, -0.5311285257339478, 0.13670334219932556, -0.10442225635051727, -0.13282965123653412, -0.20020392537117004, -0.33300071954727173, 0.1183621734380722, 0.13476994633674622, 0.11888362467288971, -0.21880269050598145, 0.05133268982172012, -0.3507740795612335, 0.09096643328666687, -0.25970658659935, -0.3849823474884033, 0.08160333335399628, -0.5143460035324097, 0.15195070207118988, -0.29437151551246643, -0.6112700700759888, 0.0196952186524868, -0.04831978306174278, -0.41643255949020386, 0.6303433775901794, 0.22266221046447754, -0.4417974352836609, 0.24447862803936005, -0.26380738615989685, -0.22318550944328308, 0.19847306609153748, -0.31083837151527405, -0.16670258343219757]
18;vicios_troca_garantia_pratica;[0.25398942828178406, 0.07153477519750595, -0.07167329639196396, 0.0603773295879364, -0.2307470589876175, 0.32882434129714966, 0.07237668335437775, 0.27374857664108276, -0.2959347367286682, -0.0033642651978880167, -0.5797786712646484, 0.13883790373802185, 0.05807635933160782, 0.4719904363155365, -0.21535612642765045, -0.2680146396160126, 0.025666996836662292, -0.5791407227516174, -0.33006030321121216, 0.05273491144180298, 0.030987491831183434, 0.09669473022222519, 0.03846045210957527, 0.3516412675380707, 0.37358856201171875, 0.07216794788837433, -0.2727932333946228, 0.17522726953029633, -0.219690203666687, -0.28171610832214355, -0.16116587817668915, -0.0440354123711586, 0.0989871397614479, 0.09879469871520996, 0.12027281522750854, -0.0551777184009552, 0.23027947545051575, -0.5984944105148315, 0.021913379430770874, 0.30918580293655396, 0.2116459161043167, 0.015552184544503689, 0.46515658497810364, -0.2559618651866913, 0.22219166159629822, 0.11325641721487045, 0.08053261786699295, 0.36354902386665344, 0.5569024682044983, -0.23742954432964325, -0.06367013603448868, -0.696787416934967, -0.18684348464012146, 0.03944539651274681, 0.2098938524723053, 0.03320072591304779, -0.05964713171124458, 0.16786395013332367, -0.17746570706367493, 0.3950712978839874, 0.040559232234954834, 0.11749064922332764, -0.448548287153244, 0.28394970297813416, 0.31983092427253723, 0.05951565504074097, 0.17737725377082825, -0.3158385753631592, -0.4198215901851654, 0.11002709716558456, -0.07847718894481659, -0.10737983882427216, -0.15779688954353333, -0.2618594765663147, 0.08968383818864822, 0.1083492860198021, 0.09230627119541168, -0.17644357681274414, 0.04297932609915733, -0.27807745337486267, 0.07462330162525177, -0.20932115614414215, -0.3074151873588562, 0.06953881680965424, -0.4064369797706604, 0.12171923369169235, -0.2252725511789322, -0.4839887022972107, 0.018600979819893837, -0.037830647081136703, -0.3291497230529785, 0.5024087429046631, 0.1747673898935318, -0.3485937714576721, 0.19160331785678864, -0.2104690968990326, -0.1756247729063034, 0.15816150605678558, -0.2406025230884552, -0.13248246908187866]
19;vicios_troca_garantia_pratica;[0.19640374183654785, 0.05301135778427124, -0.047082383185625076, 0.04702946916222572, -0.18391889333724976, 0.24386119842529297, 0.05290452018380165, 0.2066594511270523, -0.2308153659105301, -0.002519058296456933, -0.4390845000743866, 0.11227997392416, 0.04355843737721443, 0.36206158995628357, -0.16349856555461884, -0.19853083789348602, 0.025239134207367897, -0.44512227177619934, -0.25233665108680725, 0.047923456877470016, 0.03071136213839054, 0.06983184814453125, 0.022786252200603485, 0.280327171087265, 0.28315743803977966, 0.06116970255970955, -0.20632867515087128, 0.13571695983409882, -0.17341947555541992, -0.21496550738811493, -0.12245497107505798, -0.040152352303266525, 0.08595291525125504, 0.07408326119184494, 0.08184835314750671, -0.0380513034760952, 0.1702529340982437, -0.45557424426078796, 0.01993955858051777, 0.24599356949329376, 0.1581719070672989, 0.021159887313842773, 0.36873140931129456, -0.19605658948421478, 0.17051143944263458, 0.09172574430704117, 0.06254447251558304, 0.27784764766693115, 0.421171635389328, -0.18069469928741455, -0.04688243567943573, -0.5384524464607239, -0.15348713099956512, 0.02594587951898575, 0.16487370431423187, 0.014899746514856815, -0.04659571126103401, 0.13765393197536469, -0.13950411975383759, 0.30569761991500854, 0.028486087918281555, 0.09122991561889648, -0.3499145805835724, 0.21392373740673065, 0.2442665547132492, 0.039572760462760925, 0.13878145813941956, -0.2329828292131424, -0.3224927484989166, 0.09189939498901367, -0.0560392402112484, -0.08046980947256088, -0.11896863579750061, -0.20394568145275116, 0.07007605582475662, 0.09035859256982803, 0.062028925865888596, -0.13547752797603607, 0.035235125571489334, -0.20998823642730713, 0.0508742481470108, -0.15123628079891205, -0.23753409087657928, 0.05212218686938286, -0.31280139088630676, 0.10041358321905136, -0.17664290964603424, -0.37647390365600586, 0.018418170511722565, -0.03114079125225544, -0.2587162256240845, 0.3750934898853302, 0.12622779607772827, -0.26830968260765076, 0.14824430644512177, -0.1611074060201645, -0.1373441070318222, 0.12235350161790848, -0.18152548372745514, -0.09686717391014099]
20;vicios_troca_garantia_pratica;[0.1878398209810257, 0.05619887262582779, -0.05942707136273384, 0.04600805416703224, -0.17363271117210388, 0.23996372520923615, 0.05148335173726082, 0.19936463236808777, -0.22525544464588165, -0.0025522883515805006, -0.4333524703979492, 0.10602662712335587, 0.042994774878025055, 0.3558959662914276, -0.15878935158252716, -0.19833871722221375, 0.022978192195296288, -0.43299728631973267, -0.24788334965705872, 0.040570955723524094, 0.026252100244164467, 0.0706569105386734, 0.0252244733273983, 0.26613563299179077, 0.28120386600494385, 0.05586440488696098, -0.20554551482200623, 0.12667645514011383, -0.16846206784248352, -0.20832279324531555, -0.11961819976568222, -0.039335183799266815, 0.07807227224111557, 0.07610878348350525, 0.08594202250242233, -0.03674417734146118, 0.17605657875537872, -0.45598429441452026, 0.010501811280846596, 0.2390742003917694, 0.15661880373954773, 0.013194012455642223, 0.34982532262802124, -0.192773699760437, 0.16802284121513367, 0.0852838009595871, 0.06485753506422043, 0.2756657600402832, 0.41300469636917114, -0.17936086654663086, -0.04649754613637924, -0.5238426327705383, -0.14248010516166687, 0.028183305636048317, 0.16560354828834534, 0.028254687786102295, -0.045612554997205734, 0.12216265499591827, -0.1362890899181366, 0.2987385392189026, 0.0291962418705225, 0.08551643788814545, -0.34128350019454956, 0.21718212962150574, 0.2341729700565338, 0.04898415878415108, 0.13460472226142883, -0.23773792386054993, -0.31771039962768555, 0.08285382390022278, -0.06173514202237129, -0.07529939711093903, -0.11673319339752197, -0.20055286586284637, 0.06986543536186218, 0.08251053094863892, 0.06676425039768219, -0.12652310729026794, 0.028549015522003174, -0.2073667049407959, 0.051479410380125046, -0.15462759137153625, -0.22679147124290466, 0.047805897891521454, -0.30871888995170593, 0.0946977362036705, -0.17100389301776886, -0.36639514565467834, 0.009097447618842125, -0.026222223415970802, -0.24423745274543762, 0.37464916706085205, 0.13019631803035736, -0.26637911796569824, 0.1449557989835739, -0.15495887398719788, -0.13682571053504944, 0.11555981636047363, -0.18465617299079895, -0.1038936972618103]
21;vicios_troca_garantia_pratica;[0.2664744257926941, 0.07617152482271194, -0.08020667731761932, 0.06973578035831451, -0.2403871864080429, 0.34450605511665344, 0.08461476862430573, 0.28626781702041626, -0.3169197738170624, -0.0017223551403731108, -0.6144193410873413, 0.14930197596549988, 0.06584162265062332, 0.5005577206611633, -0.22453206777572632, -0.2814846336841583, 0.03395380452275276, -0.622257649898529, -0.35936838388442993, 0.055901944637298584, 0.03499957546591759, 0.10410019010305405, 0.038297321647405624, 0.3750745952129364, 0.39475685358047485, 0.0790451318025589, -0.28765159845352173, 0.18830791115760803, -0.23213760554790497, -0.29695427417755127, -0.17379648983478546, -0.05316144600510597, 0.11328040063381195, 0.10071749985218048, 0.12599582970142365, -0.05924146622419357, 0.24244090914726257, -0.6436588764190674, 0.014863784424960613, 0.33528611063957214, 0.22580252587795258, 0.016211921349167824, 0.49483978748321533, -0.2721827030181885, 0.2375614047050476, 0.12564526498317719, 0.09645836800336838, 0.3878338932991028, 0.5914612412452698, -0.2547563314437866, -0.0616416335105896, -0.7400683164596558, -0.2006535828113556, 0.040926381945610046, 0.2230573296546936, 0.03568057715892792, -0.06284411251544952, 0.18131676316261292, -0.18592113256454468, 0.4246585965156555, 0.03953849896788597, 0.12364163994789124, -0.48247992992401123, 0.3093365430831909, 0.33958637714385986, 0.06495653092861176, 0.19265104830265045, -0.3328750729560852, -0.4444640278816223, 0.12344430387020111, -0.09116927534341812, -0.11150116473436356, -0.16796091198921204, -0.28168052434921265, 0.09480714052915573, 0.11188849061727524, 0.09587415307760239, -0.18466410040855408, 0.04162014275789261, -0.2993328869342804, 0.06820665299892426, -0.22209838032722473, -0.32954877614974976, 0.07078339159488678, -0.4309360384941101, 0.13066911697387695, -0.2428852617740631, -0.520062267780304, 0.019657429307699203, -0.04011976346373558, -0.34916573762893677, 0.5323615074157715, 0.18529319763183594, -0.37654149532318115, 0.20359328389167786, -0.22294394671916962, -0.18606816232204437, 0.17128030955791473, -0.25499045848846436, -0.14532148838043213]
22;vicios_troca_garantia_pratica;[0.24272291362285614, 0.06797976791858673, -0.06976277381181717, 0.06071111187338829, -0.21434365212917328, 0.3042144775390625, 0.0702538713812828, 0.25307533144950867, -0.2764228582382202, -0.0001266842009499669, -0.5452295541763306, 0.1326351761817932, 0.055935587733983994, 0.44409894943237305, -0.19760052859783173, -0.24868543446063995, 0.032022494822740555, -0.5472440719604492, -0.3144100606441498, 0.051761943846940994, 0.03108428232371807, 0.09125448018312454, 0.03390611335635185, 0.33355429768562317, 0.3481466472148895, 0.06980019807815552, -0.25269994139671326, 0.16737331449985504, -0.20584142208099365, -0.2639584541320801, -0.15078365802764893, -0.04815132915973663, 0.09572028368711472, 0.089840829372406, 0.106819748878479, -0.05108664929866791, 0.21514515578746796, -0.5667871236801147, 0.01765177957713604, 0.3012545704841614, 0.1988600641489029, 0.015600358135998249, 0.43823862075805664, -0.23971040546894073, 0.21186287701129913, 0.1077415943145752, 0.08355537056922913, 0.34114909172058105, 0.5182713866233826, -0.22498804330825806, -0.05720412731170654, -0.654147744178772, -0.18357157707214355, 0.03261101618409157, 0.20035742223262787, 0.029211431741714478, -0.053013235330581665, 0.1574305295944214, -0.16543461382389069, 0.37446680665016174, 0.035908084362745285, 0.11159276962280273, -0.4236997365951538, 0.27091747522354126, 0.3010506331920624, 0.05602088198065758, 0.169876828789711, -0.29182830452919006, -0.3907485008239746, 0.10743122547864914, -0.07584774494171143, -0.09465834498405457, -0.1489628255367279, -0.24950416386127472, 0.08334767818450928, 0.10209816694259644, 0.08399087190628052, -0.1618558168411255, 0.038599807769060135, -0.2602260410785675, 0.06297000497579575, -0.19287778437137604, -0.28601640462875366, 0.063562773168087, -0.3810548484325409, 0.11525360494852066, -0.21593119204044342, -0.45811784267425537, 0.01722038723528385, -0.03464214503765106, -0.30731201171875, 0.47171998023986816, 0.16534562408924103, -0.33273324370384216, 0.17654119431972504, -0.197245791554451, -0.16675786674022675, 0.15080705285072327, -0.23103447258472443, -0.12699437141418457]
23;vicios_troca_garantia_pratica;[0.19321590662002563, 0.054860860109329224, -0.05621618032455444, 0.048451509326696396, -0.1693282425403595, 0.2436264306306839, 0.05634516477584839, 0.20363964140415192, -0.22729173302650452, 0.0022978843189775944, -0.4338932931423187, 0.11184196174144745, 0.04172596335411072, 0.3600396513938904, -0.1595645546913147, -0.19972151517868042, 0.03000192902982235, -0.44354385137557983, -0.25385481119155884, 0.04543643444776535, 0.025462660938501358, 0.07055079936981201, 0.02263997495174408, 0.2708575427532196, 0.28676143288612366, 0.05473869666457176, -0.20206879079341888, 0.1333678811788559, -0.16455568373203278, -0.21593287587165833, -0.12171737849712372, -0.03934450447559357, 0.0793423056602478, 0.07547537237405777, 0.08214481920003891, -0.04282144457101822, 0.17717938125133514, -0.45931288599967957, 0.012210831046104431, 0.24532100558280945, 0.15674841403961182, 0.012242333963513374, 0.3593868315219879, -0.1966378092765808, 0.16909486055374146, 0.08838360756635666, 0.06357727944850922, 0.2765781283378601, 0.4224604368209839, -0.17779314517974854, -0.04241552948951721, -0.5307909250259399, -0.14064279198646545, 0.027204319834709167, 0.16246935725212097, 0.025951651856303215, -0.046661585569381714, 0.12757709622383118, -0.13353689014911652, 0.30256569385528564, 0.024872925132513046, 0.09045445173978806, -0.344112753868103, 0.22050926089286804, 0.2394147664308548, 0.05065957456827164, 0.1376580148935318, -0.23334451019763947, -0.31866368651390076, 0.08730270713567734, -0.06070040911436081, -0.07729411125183105, -0.11584309488534927, -0.20117448270320892, 0.06889835745096207, 0.08634128421545029, 0.07011497765779495, -0.1278916448354721, 0.03136557713150978, -0.21156318485736847, 0.051250942051410675, -0.15800094604492188, -0.23426192998886108, 0.051665470004081726, -0.3095429837703705, 0.09731592237949371, -0.17610090970993042, -0.3685247302055359, 0.012773868627846241, -0.0240789782255888, -0.2501299977302551, 0.3844798505306244, 0.13294021785259247, -0.2679304778575897, 0.15104712545871735, -0.1577436625957489, -0.13946989178657532, 0.12282370775938034, -0.18911238014698029, -0.1038745865225792]
